Date,Confirmed,Recovered,Deaths
2020-01-20,1,0,0
2020-01-21,0,0,0
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,1,0,0
2020-01-25,0,0,0
2020-01-26,1,0,0
2020-01-27,1,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,2,0,0
2020-01-31,5,0,0
2020-02-01,1,0,0
2020-02-02,3,0,0
2020-02-03,0,0,0
2020-02-04,1,0,0
2020-02-05,2,0,0
2020-02-06,5,0,0
2020-02-07,1,0,0
2020-02-08,0,1,0
2020-02-09,3,0,0
2020-02-10,0,1,0
2020-02-11,1,3,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,2,0
2020-02-16,1,0,0
2020-02-17,1,1,0
2020-02-18,1,2,0
2020-02-19,20,4,0
2020-02-20,53,0,1
2020-02-21,100,1,0
2020-02-22,229,1,1
2020-02-23,169,0,3
2020-02-24,231,4,2
2020-02-25,144,0,3
2020-02-26,284,2,2
2020-02-27,505,2,1
2020-02-28,571,1,0
2020-02-29,813,1,4
2020-03-01,586,2,1
2020-03-02,476,1,4
2020-03-03,600,3,6
2020-03-04,516,7,4
2020-03-05,438,47,3
2020-03-06,518,20,7
2020-03-07,483,10,2
2020-03-08,367,12,6
2020-03-09,248,36,1
2020-03-10,131,81,3
2020-03-11,242,41,6
2020-03-12,114,45,6
2020-03-13,110,177,1
2020-03-14,107,204,5
2020-03-15,76,120,3
2020-03-16,74,303,0
2020-03-17,84,264,6
2020-03-18,93,139,3
2020-03-19,152,407,7
2020-03-20,87,286,3
2020-03-21,147,379,8
2020-03-22,98,297,2
2020-03-23,64,257,7
2020-03-24,76,341,9
2020-03-25,100,223,6
2020-03-26,104,414,5
2020-03-27,91,384,8
2020-03-28,146,283,5
2020-03-29,105,222,8
2020-03-30,78,195,6
2020-03-31,125,180,4
2020-04-01,101,159,3
2020-04-02,89,261,4
2020-04-03,86,193,5
2020-04-04,94,304,3
2020-04-05,81,138,6
2020-04-06,47,135,3
2020-04-07,47,96,6
2020-04-08,53,82,8
2020-04-09,39,197,4
2020-04-10,27,144,4
2020-04-11,30,126,3
2020-04-12,32,125,3
2020-04-13,25,79,3
2020-04-14,27,87,5
2020-04-15,27,82,3
2020-04-16,22,141,4
2020-04-17,22,72,1
2020-04-18,18,108,2
2020-04-19,8,105,2
2020-04-20,13,72,2
2020-04-21,9,99,1
2020-04-22,11,64,1
2020-04-23,8,134,2
2020-04-24,6,90,0
2020-04-25,10,134,0
2020-04-26,10,82,2
2020-04-27,10,47,1
2020-04-28,14,90,1
2020-04-29,9,68,2
2020-04-30,4,137,1
2020-05-01,9,13,1
2020-05-02,6,51,2
2020-05-03,13,60,0
2020-05-04,8,34,2
2020-05-05,3,66,2
2020-05-06,2,50,1
2020-05-07,4,86,1
2020-05-08,12,65,0
2020-05-09,18,84,0
2020-05-10,34,42,0
2020-05-11,35,22,0
2020-05-12,27,38,2
2020-05-13,26,25,1
2020-05-14,29,67,1
2020-05-15,27,59,0
2020-05-16,19,30,2
2020-05-17,13,37,0
2020-05-18,15,16,1
2020-05-19,13,34,0
2020-05-20,32,128,0
2020-05-21,12,69,1
2020-05-22,20,27,0
2020-05-23,23,32,2
2020-05-24,25,19,0
2020-05-25,16,13,1
2020-05-26,19,49,2
2020-05-27,40,20,0
2020-05-28,79,45,0
2020-05-29,58,23,0
2020-05-30,39,35,0
2020-05-31,27,7,1
2020-06-01,35,17,1
2020-06-02,38,24,1
